id,title,author,musictype,inq,href
74,那个夏天,久石让,轻松欢快的纯音乐,19979,http://f1.htqyy.com/play/41/mp3/18
75,梦之仙境,安德蒙,安德蒙减压音乐,19978,http://f1.htqyy.com/play/897/mp3/18
76,阿甘正传,Alan Silvestri,世界最著名的轻音乐,19903,http://f1.htqyy.com/play/818/mp3/18
77,和兰花在一起,雅尼,雅尼精选集,19799,http://f1.htqyy.com/play/1/mp3/18
78,耳边私语,Chris Phillips,史上最优美的轻音乐,19504,http://f1.htqyy.com/play/559/mp3/18
79,勇敢的心,Two Steps From Hell,气势背景音乐精选,18556,http://f1.htqyy.com/play/468/mp3/18
80,真爱,班得瑞,班得瑞经典收藏,18052,http://f1.htqyy.com/play/719/mp3/18
81,茶茗-静心禅乐,Karunesh,放松心情缓解压力的轻音乐,18009,http://f1.htqyy.com/play/449/mp3/18
82,但愿,恩雅,"心中的天籁,空灵人声",17906,http://f1.htqyy.com/play/91/mp3/18
83,市集-武侠经典配乐,胡伟立,轻松欢快的纯音乐,17849,http://f1.htqyy.com/play/124/mp3/18
84,奋斗背景音乐,纯音乐,影视原声精选集,17848,http://f1.htqyy.com/play/60/mp3/18
85,美好清晨,Daveed,优美的背景纯音乐精选,17624,http://f1.htqyy.com/play/609/mp3/18
86,阿甘正传完美钢琴曲,Chris Phillips,史上最优美的轻音乐,17501,http://f1.htqyy.com/play/558/mp3/18
87,加勒比海盗主题曲,Klaus Badelt,气势背景音乐精选,17397,http://f1.htqyy.com/play/466/mp3/18
88,祝福,安德蒙,安德蒙减压音乐,17299,http://f1.htqyy.com/play/319/mp3/18
89,世外桃源,2002 Pamela,减压舒缓精选,17256,http://f1.htqyy.com/play/679/mp3/18
90,爱尔兰摇篮曲,班得瑞,班得瑞经典收藏,17206,http://f1.htqyy.com/play/35/mp3/18
91,献给爱丽丝,理查德,理查德经典钢琴曲,16869,http://f1.htqyy.com/play/5/mp3/18
92,舒缓的钢琴曲,纯音乐,减压舒缓精选,16868,http://f1.htqyy.com/play/615/mp3/18
93,海龟岛 美妙的吉他,Mike Oldfield,减压舒缓精选,16773,http://f1.htqyy.com/play/347/mp3/18
94,迷情仙境,轻音乐,史上最优美的轻音乐,16202,http://f1.htqyy.com/play/1446/mp3/18
95,半壶纱 迷人嗓音,刘珂矣,环球极品流行音乐,16151,http://f1.htqyy.com/play/622/mp3/18
96,拉提卡之歌,A.R. 拉曼,"心中的天籁,空灵人声",16010,http://f1.htqyy.com/play/92/mp3/18
97,忧伤的步美,名侦探柯南插曲,触动心灵之弦的乐曲,15909,http://f1.htqyy.com/play/182/mp3/18
98,送别(长亭外),口琴,中国风纯音乐精选集,15886,http://f1.htqyy.com/play/211/mp3/18
99,绵雪,钢琴曲,优美的背景纯音乐精选,15767,http://f1.htqyy.com/play/243/mp3/18
100,经典哼唱,哼唱歌手,"心中的天籁,空灵人声",15757,http://f1.htqyy.com/play/95/mp3/18
101,天籁排箫 老鹰之歌,Leo Rojas,聆听旋律优美的纯音乐,15612,http://f1.htqyy.com/play/1561/mp3/18
102,兰陵王入阵曲,琵琶曲,影视原声精选集,15172,http://f1.htqyy.com/play/767/mp3/18
103,安妮之歌,班得瑞,班得瑞轻音乐精选,15028,http://f1.htqyy.com/play/25/mp3/18
104,Breath and Life,Audiomachine,气势背景音乐精选,14761,http://f1.htqyy.com/play/334/mp3/18
105,水墨丹青凤凰城,李志辉,唯美新世纪音乐,14687,http://f1.htqyy.com/play/96/mp3/18
106,枉凝眉箫曲,谭炎健,中国风纯音乐精选集,14665,http://f1.htqyy.com/play/238/mp3/18
107,思念,白日梦,白日梦精选集,14519,http://f1.htqyy.com/play/65/mp3/18
108,神秘园之歌,神秘园,神秘园精选集,14511,http://f1.htqyy.com/play/30/mp3/18
109,我记得我爱过(钢琴版),泡沫之夏插曲,唯美动听的钢琴曲,14459,http://f1.htqyy.com/play/1382/mp3/18
110,"说你,说我",钢琴曲,减压舒缓精选,14334,http://f1.htqyy.com/play/324/mp3/18
111,水姻缘－古筝曲,蒋倩,中国风纯音乐精选集,13996,http://f1.htqyy.com/play/925/mp3/18
112,曙光之门,神秘园,"心中的天籁,空灵人声",13795,http://f1.htqyy.com/play/596/mp3/18
113,我心深处,班得瑞,班得瑞轻音乐精选,13775,http://f1.htqyy.com/play/486/mp3/18
114,母亲,久石让,久石让精选集,13654,http://f1.htqyy.com/play/45/mp3/18
115,美丽的神话钢琴版,王崴,流行纯音乐极品,13586,http://f1.htqyy.com/play/268/mp3/18
116,半壶纱,刘珂矣,"心中的天籁,空灵人声",13506,http://f1.htqyy.com/play/618/mp3/18
117,我很快乐,刘惜君,治愈心灵的流行轻音乐,13368,http://f1.htqyy.com/play/357/mp3/18
118,无尽地平线,班得瑞,班得瑞轻音乐精选,13133,http://f1.htqyy.com/play/27/mp3/18
119,三个人的时光,吴欣睿,优美的背景纯音乐精选,13046,http://f1.htqyy.com/play/122/mp3/18
120,斯卡布罗集市,莎拉&#183;布莱曼,"心中的天籁,空灵人声",12740,http://f1.htqyy.com/play/99/mp3/18
121,春(Spring),维瓦尔第,优美的背景纯音乐精选,12548,http://f1.htqyy.com/play/205/mp3/18
122,森林幻想曲,Bandari,你不能错过的纯音乐,12523,http://f1.htqyy.com/play/1618/mp3/18
123,思乡曲,理查德,理查德经典钢琴曲,12280,http://f1.htqyy.com/play/102/mp3/18
124,雨碎江南-古筝笛子版,墨明棋妙,中国轻音乐精选集,12135,http://f1.htqyy.com/play/931/mp3/18
125,临安初雨,纯音乐,舌尖上的中国精选集,12113,http://f1.htqyy.com/play/480/mp3/18
126,水墨兰亭,李志辉,放松新世纪音乐,12095,http://f1.htqyy.com/play/330/mp3/18
127,瓦尔德田野,Tamas Wells,"心中的天籁,空灵人声",12051,http://f1.htqyy.com/play/98/mp3/18
128,伊卡洛斯 Icarus,Ivan Torrent,气势背景音乐精选,12033,http://f1.htqyy.com/play/1329/mp3/18
129,万水千山总是情,中国民乐,中国轻音乐精选集,12020,http://f1.htqyy.com/play/86/mp3/18
130,初见,郝一钢,影视原声精选集,11998,http://f1.htqyy.com/play/545/mp3/18
131,天空之城 (钢琴版),郭燕,你不能错过的纯音乐,11944,http://f1.htqyy.com/play/1599/mp3/18
132,雪山飞狐,排箫,中国轻音乐精选集,11924,http://f1.htqyy.com/play/210/mp3/18
133,北极光的征兆,Sofia Jannok,放松心情的流行轻音乐,11695,http://f1.htqyy.com/play/540/mp3/18
134,千与千寻,久石让,天籁钢琴精选合集,11587,http://f1.htqyy.com/play/143/mp3/18
135,Adagio 柔板,神秘园,神秘园精选集,11572,http://f1.htqyy.com/play/502/mp3/18
136,超好听的女声哼唱,哼唱歌手,"心中的天籁,空灵人声",11568,http://f1.htqyy.com/play/1026/mp3/18
137,寂静的天空,代青塔娜,"心中的天籁,空灵人声",11529,http://f1.htqyy.com/play/565/mp3/18
138,新水浒传插曲 女生哼唱,刘依朵,"心中的天籁,空灵人声",11353,http://f1.htqyy.com/play/97/mp3/18
139,清脆纯音乐,纯音乐铃声,好听的手机铃声,11331,http://f1.htqyy.com/play/904/mp3/18
140,灵魂的开关,Brusspup,气势背景音乐精选,11285,http://f1.htqyy.com/play/529/mp3/18
141,穿越时空的思念,钢琴曲,优美的背景纯音乐精选,11243,http://f1.htqyy.com/play/539/mp3/18
142,寂色,神秘园,神秘园精选集,11070,http://f1.htqyy.com/play/788/mp3/18
143,欢乐颂,贝多芬,轻松欢快的纯音乐,11054,http://f1.htqyy.com/play/594/mp3/18
144,澄镜之水,Maksim Mrvica,气势背景音乐精选,11012,http://f1.htqyy.com/play/470/mp3/18
145,速度与激情7插曲伴奏版,Skylar Grey,背景音乐之旅－感人之声,10996,http://f1.htqyy.com/play/832/mp3/18
146,爱的纪念,理查德,理查德经典钢琴曲,10958,http://f1.htqyy.com/play/8/mp3/18
147,杨柳,范宗沛,中国轻音乐精选集,10946,http://f1.htqyy.com/play/82/mp3/18
148,美好清晨 New Morning,Daveed,放松心情缓解压力的轻音乐,10910,http://f1.htqyy.com/play/1521/mp3/18
149,Love&#39;s First Smile,Kevin Kern,优美的背景纯音乐精选,10880,http://f1.htqyy.com/play/275/mp3/18
150,夜的钢琴曲九,石进,夜的钢琴曲,10732,http://f1.htqyy.com/play/162/mp3/18
151,莲香飘渺,纯音乐,减压舒缓精选,10690,http://f1.htqyy.com/play/590/mp3/18
152,Timeless,Wise Hand,好听的电子音乐,10595,http://f1.htqyy.com/play/528/mp3/18
153,夏日微风,纯音乐,减压舒缓精选,10592,http://f1.htqyy.com/play/601/mp3/18
154,岁月静好,钢琴曲,放松新世纪音乐,10527,http://f1.htqyy.com/play/1392/mp3/18
155,绿袖子,理查德,理查德经典钢琴曲,10351,http://f1.htqyy.com/play/6/mp3/18
156,重回心灵花园,安德蒙,安德蒙减压音乐,10340,http://f1.htqyy.com/play/321/mp3/18
157,聆听,班得瑞,大自然音乐系列,10225,http://f1.htqyy.com/play/619/mp3/18
158,风潮,吉田亚纪子,"心中的天籁,空灵人声",10216,http://f1.htqyy.com/play/100/mp3/18
159,弥撒 The Mass,Era,气势背景音乐精选,10148,http://f1.htqyy.com/play/134/mp3/18
160,天际,Mickey Huang,大自然音乐系列,9925,http://f1.htqyy.com/play/381/mp3/18
161,牵我的手,Omar Akram,放松新世纪音乐,9875,http://f1.htqyy.com/play/538/mp3/18
162,蝶恋花,孙锐,"心中的天籁,空灵人声",9832,http://f1.htqyy.com/play/433/mp3/18
163,誓言 The Promise,神秘园,神秘园精选集,9831,http://f1.htqyy.com/play/32/mp3/18
164,提笔为青春,川井宪次,影视原声精选集,9796,http://f1.htqyy.com/play/1375/mp3/18
165,闲云野鹤,刘星,新世纪音乐精选,9768,http://f1.htqyy.com/play/478/mp3/18
166,大悲咒(藏),佛教音乐,佛教音乐精选,9737,http://f1.htqyy.com/play/393/mp3/18
167,高山流水,古筝,唯美中国风轻音乐,9723,http://f1.htqyy.com/play/206/mp3/18
168,童年的回忆钢琴曲,理查德,理查德经典钢琴曲,9684,http://f1.htqyy.com/play/233/mp3/18
169,Rock House Jail,Hans Zimmer,气势背景音乐精选,9683,http://f1.htqyy.com/play/508/mp3/18
170,天使爱美丽,Yann Tiersen,轻松欢快的纯音乐,9662,http://f1.htqyy.com/play/562/mp3/18
171,渔舟唱晚,浦琪璋,中国轻音乐精选集,9662,http://f1.htqyy.com/play/266/mp3/18
172,巴黎最后的探戈,High Society,好听的电子音乐,9625,http://f1.htqyy.com/play/103/mp3/18
173,风吹麦浪,"李健,孙俪",好听的流行轻音乐,9625,http://f1.htqyy.com/play/339/mp3/18
174,至少还有你,甘仕良,好听的钢琴曲精选,9614,http://f1.htqyy.com/play/657/mp3/18
175,大悲咒,邝美云,佛教音乐精选,9607,http://f1.htqyy.com/play/389/mp3/18
176,三生石上,女声吟唱,中国轻音乐精选集,9582,http://f1.htqyy.com/play/237/mp3/18
177,秋天的落叶,班得瑞,班得瑞轻音乐精选,9515,http://f1.htqyy.com/play/1299/mp3/18
178,美丽的神话,黄江琴,中国轻音乐精选集,9310,http://f1.htqyy.com/play/89/mp3/18
179,秘密,卡洛儿,卡洛儿精选集,9218,http://f1.htqyy.com/play/51/mp3/18
180,飘摇,周迅,好听的流行轻音乐,9215,http://f1.htqyy.com/play/580/mp3/18
181,清尘雅琴,纯音乐,减压舒缓精选,8995,http://f1.htqyy.com/play/600/mp3/18
182,偏偏喜欢你 (钢琴),赵海洋,流行纯音乐极品,8984,http://f1.htqyy.com/play/1181/mp3/18
183,走进莎莉花园,Brad White,放松新世纪音乐,8920,http://f1.htqyy.com/play/1365/mp3/18
184,唤醒光芒,纯音乐,减压舒缓精选,8883,http://f1.htqyy.com/play/475/mp3/18
185,银月,恩田直幸,减压舒缓精选,8876,http://f1.htqyy.com/play/445/mp3/18
186,经典排箫曲,James Last,世界最著名的轻音乐,8740,http://f1.htqyy.com/play/790/mp3/18
187,忧伤还是快乐,July,轻松欢快的纯音乐,8717,http://f1.htqyy.com/play/125/mp3/18
188,舒伯特小夜曲,胎教音乐,适合胎教的轻音乐,8690,http://f1.htqyy.com/play/913/mp3/18
189,布列瑟农,马修&#183;连恩,环球极品流行音乐,8682,http://f1.htqyy.com/play/349/mp3/18
190,贝多芬- 月光奏鸣曲,贝多芬,减压舒缓精选,8628,http://f1.htqyy.com/play/927/mp3/18
191,纯净如圣诗 音乐,Deva Premal,"心中的天籁,空灵人声",8573,http://f1.htqyy.com/play/1331/mp3/18
192,闲云孤鹤,刘星,中国轻音乐精选集,8569,http://f1.htqyy.com/play/1527/mp3/18
193,古琴禅修,巫娜,佛教音乐精选,8548,http://f1.htqyy.com/play/971/mp3/18
194,橘色温度,何真真,轻松欢快的纯音乐,8443,http://f1.htqyy.com/play/579/mp3/18
195,永不太迟,雅尼,雅尼精选集,8402,http://f1.htqyy.com/play/248/mp3/18
196,星之所在钢琴版,钢琴曲,轻松欢快的纯音乐,8374,http://f1.htqyy.com/play/578/mp3/18
197,遇见钢琴曲,向左走向右走主题曲,流行音乐钢琴曲,8262,http://f1.htqyy.com/play/236/mp3/18
198,夜莺,雅尼,雅尼精选集,8177,http://f1.htqyy.com/play/12/mp3/18
199,我心依旧,Giovanni,聆听旋律优美的纯音乐,8115,http://f1.htqyy.com/play/1363/mp3/18
200,Faded (纯电音慢摇),Alan Walker,好听的电子音乐,8042,http://f1.htqyy.com/play/1401/mp3/18
201,真爱-床头抒情轻音乐,班得瑞,睡眠轻音乐,7999,http://f1.htqyy.com/play/272/mp3/18
202,在你身上流动的河,李闰珉,好听的纯音乐精选集,7896,http://f1.htqyy.com/play/135/mp3/18
203,Sweet Lullaby 甜蜜摇篮曲,Deep Forest,"心中的天籁,空灵人声",7871,http://f1.htqyy.com/play/1182/mp3/18
204,珍珠港,Hans Zimmer,气势背景音乐精选,7792,http://f1.htqyy.com/play/505/mp3/18
205,D大调卡农,Brian Crain,世界最著名的轻音乐,7698,http://f1.htqyy.com/play/680/mp3/18
206,云水禅心,王珣,古筝名曲精选集,7628,http://f1.htqyy.com/play/386/mp3/18
207,Reason蓝色生死恋,纯音乐,世界最著名的轻音乐,7620,http://f1.htqyy.com/play/692/mp3/18
208,今夜爱无限,钢琴轻音乐,影视原声精选集,7569,http://f1.htqyy.com/play/625/mp3/18
209,宽阔的海水,David Nevue,减压舒缓精选,7555,http://f1.htqyy.com/play/1430/mp3/18
210,三个人的时光,吴欣睿,你不能错过的纯音乐,7495,http://f1.htqyy.com/play/1626/mp3/18
211,Feels Like Heaven,VSTGUru,"心中的天籁,空灵人声",7482,http://f1.htqyy.com/play/251/mp3/18
212,加州旅馆,老鹰乐队,环球极品流行音乐,7477,http://f1.htqyy.com/play/342/mp3/18
213,星星小夜曲,理查德,理查德经典钢琴曲,7460,http://f1.htqyy.com/play/1032/mp3/18
214,夜的钢琴曲五(铃声),石进,适合当手机铃声的纯音乐,7458,http://f1.htqyy.com/play/314/mp3/18
215,遥远的旅途,吉田洁,气势背景音乐精选,7431,http://f1.htqyy.com/play/506/mp3/18
216,一切为了你,班得瑞,班得瑞轻音乐精选,7411,http://f1.htqyy.com/play/1448/mp3/18
217,深山禅林,古筝佛赞,佛教音乐精选,7408,http://f1.htqyy.com/play/882/mp3/18
218,望天,纯音乐,触动心灵之弦的乐曲,7401,http://f1.htqyy.com/play/104/mp3/18
219,赤道和北极,王雅洁,中国轻音乐精选集,7380,http://f1.htqyy.com/play/88/mp3/18
220,春天来了,纯音乐,好听的电子音乐,7376,http://f1.htqyy.com/play/624/mp3/18
221,微光,Kevin Kern,减压舒缓精选,7218,http://f1.htqyy.com/play/660/mp3/18
222,柔和类轻音乐背景,骆集益,优美的背景纯音乐精选,7216,http://f1.htqyy.com/play/691/mp3/18
223,"天籁之音,来自印第安",Inka Projection,放松新世纪音乐,7138,http://f1.htqyy.com/play/1207/mp3/18
224,曙光 Aurora,Capozio,好听的电子音乐,7133,http://f1.htqyy.com/play/743/mp3/18
225,万福泉源,William Joseph,治愈系纯音乐,7104,http://f1.htqyy.com/play/760/mp3/18
226,钢琴二重奏版卡农,钢琴曲,轻松欢快的纯音乐,7096,http://f1.htqyy.com/play/575/mp3/18
227,不论多少次,八音盒,轻松欢快的纯音乐,7090,http://f1.htqyy.com/play/597/mp3/18
228,Dare to Dream,Robert Etoll,舌尖上的中国精选集,7077,http://f1.htqyy.com/play/1154/mp3/18
229,Nocturne(改编自夜曲),神秘园,神秘园精选集,7021,http://f1.htqyy.com/play/821/mp3/18
230,冰菊物语,周桃桃,舌尖上的中国精选集,6985,http://f1.htqyy.com/play/476/mp3/18
231,美得不像钢琴 Waltzing Leaves,Kavin Hoo,好听的钢琴曲,6969,http://f1.htqyy.com/play/1651/mp3/18
232,田园曲 Pastorale,神秘园,神秘园精选集,6965,http://f1.htqyy.com/play/351/mp3/18
233,Memories,Capozio,减压舒缓精选,6961,http://f1.htqyy.com/play/514/mp3/18
234,玉满堂,骆集益,轻松欢快的纯音乐,6939,http://f1.htqyy.com/play/385/mp3/18
235,Europa,Globas,气势背景音乐精选,6931,http://f1.htqyy.com/play/425/mp3/18
236,摇篮曲,胎教音乐,适合胎教的轻音乐,6904,http://f1.htqyy.com/play/892/mp3/18
237,我在那一角落患过伤风,冯曦妤,背景音乐珍藏，总有一天你会用上的,6899,http://f1.htqyy.com/play/126/mp3/18
238,一声佛号一声心,王俊雄,佛教音乐精选,6864,http://f1.htqyy.com/play/151/mp3/18
239,千年一叹（古筝）,张晓红,唯美中国风轻音乐,6857,http://f1.htqyy.com/play/1409/mp3/18
240,潮汐的旋律,Gandalf,治愈心灵的轻音乐,6835,http://f1.htqyy.com/play/1670/mp3/18
241,雨韵,纯音乐,唯美中国风轻音乐,6809,http://f1.htqyy.com/play/1238/mp3/18
242,假如爱有天意,卡洛儿,卡洛儿精选集,6807,http://f1.htqyy.com/play/50/mp3/18
243,此情可待,Richard Marx,好听的流行轻音乐,6793,http://f1.htqyy.com/play/535/mp3/18
244,欢迎进行曲,中国人民解放军军乐团,背景音乐珍藏，总有一天你会用上的,6768,http://f1.htqyy.com/play/128/mp3/18
245,第一次接触,雅尼,雅尼精选集,6756,http://f1.htqyy.com/play/232/mp3/18
246,秋天的回忆,Ernesto Cortazar,轻松欢快的纯音乐,6738,http://f1.htqyy.com/play/672/mp3/18
247,Heartbeats,Amy Diamond,治愈心灵的流行轻音乐,6725,http://f1.htqyy.com/play/367/mp3/18
248,雨中漫步,雅尼,雅尼精选集,6704,http://f1.htqyy.com/play/14/mp3/18
249,Story of my life,Kondor,轻松欢快的纯音乐,6650,http://f1.htqyy.com/play/611/mp3/18
250,心灵之旅 Psyche,Chris Spheeris,优美的背景纯音乐精选,6609,http://f1.htqyy.com/play/510/mp3/18
251,云海林飞,道教音乐,唯美中国风轻音乐,6607,http://f1.htqyy.com/play/1183/mp3/18
252,偏偏喜欢你,轻音乐,中国轻音乐精选集,6560,http://f1.htqyy.com/play/262/mp3/18
253,寂静之音,班得瑞,班得瑞经典收藏,6490,http://f1.htqyy.com/play/995/mp3/18
254,无垠地平线,Bandari,减压舒缓精选,6456,http://f1.htqyy.com/play/1659/mp3/18
255,回家(萨克斯),Kenny G,经典萨克斯曲,6454,http://f1.htqyy.com/play/119/mp3/18
256,Wish,神思者,触动心灵之弦的乐曲,6437,http://f1.htqyy.com/play/488/mp3/18
257,英雄的黎明,横山菁儿,气势背景音乐精选,6425,http://f1.htqyy.com/play/127/mp3/18
258,天鹅湖,胎教音乐,适合胎教的轻音乐,6411,http://f1.htqyy.com/play/192/mp3/18
259,星月之舞(音乐舒压),John Adorney,放松心情缓解压力的轻音乐,6345,http://f1.htqyy.com/play/437/mp3/18
260,我心永恒,班得瑞,班得瑞经典收藏,6336,http://f1.htqyy.com/play/252/mp3/18
261,但愿人长久,纯音乐,中国轻音乐精选集,6323,http://f1.htqyy.com/play/435/mp3/18
262,永远同在 八音盒,日本ACG,聆听旋律优美的纯音乐,6283,http://f1.htqyy.com/play/1223/mp3/18
